run,method,images,gt,pred,precision_iou10,recall_iou10,f1_iou10,f1_iou50,coverage
raw,Raw native,44,167,96,0.5104166666666666,0.2934131736526946,0.37262357414448666,0.27376425855513303,0.31137724550898205
rmr_blind,RMR-Net image-only,44,167,92,0.5108695652173914,0.281437125748503,0.36293436293436293,0.24710424710424717,0.2934131736526946
rmr_metadata,RMR-Net context-conditioned,44,167,95,0.5052631578947369,0.2874251497005988,0.366412213740458,0.25954198473282436,0.2994011976047904
nafnet,NAFNet-road,44,167,110,0.38181818181818183,0.25149700598802394,0.30324909747292417,0.21660649819494587,0.2694610778443114
dfpir,DFPIR,44,167,112,0.36607142857142855,0.24550898203592814,0.2939068100358423,0.20071684587813618,0.25149700598802394
demoe_auto,DeMoE-auto,44,167,99,0.494949494949495,0.2934131736526946,0.3684210526315789,0.2781954887218045,0.30538922155688625
demoe_scenario,DeMoE-scenario,44,167,99,0.45454545454545453,0.2694610778443114,0.3383458646616541,0.24812030075187966,0.2874251497005988
instructir_generic,InstructIR,44,167,96,0.5104166666666666,0.2934131736526946,0.37262357414448666,0.2661596958174905,0.31736526946107785
