corpus,dataset,split,scenario,method,map50,map50_95,precision,recall,detector,imgsz,output_policy
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,clean,Clean,0.540965834335866,0.2316286126094596,0.538121762207569,0.5442935476422975,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,Degraded,0.20343616388558652,0.06859633808953586,0.36363026977176616,0.22341859890282886,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DFPIR,0.29389952098878275,0.10387308142906411,0.4367390291348439,0.3111884078674773,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DeMoE-auto,0.31945936145328707,0.11852588395358919,0.371181184761829,0.3766138026509173,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DeMoE-scenario,0.3197009609103017,0.118563845964057,0.37040566041268286,0.3766138026509173,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,NAFNet-road,0.19396343326557122,0.06474435643671564,0.35843598935921733,0.22805736100892618,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,Degraded,0.060212047810459655,0.022415328578304566,0.10311225822089054,0.17507583739109978,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,DFPIR,0.0912471484975856,0.03217859144704022,0.10178455247207081,0.2686419319134832,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,DeMoE-auto,0.13649646563389511,0.04725390055137603,0.3046938501433527,0.15021482624796828,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,DeMoE-scenario,0.15204202033417114,0.0527939615858587,0.340714898916179,0.15546406718990782,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,NAFNet-road,0.17357695686852984,0.0597203309206779,0.33455377951893855,0.1996697121046519,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,Degraded,0.3256058600510124,0.1321167432949003,0.4508311866987647,0.33596444276937903,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,DFPIR,0.352282115684268,0.14206229420307537,0.45949033608172735,0.39545664870629227,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,DeMoE-auto,0.317204947076502,0.12717571721818255,0.4614134571191409,0.3359947381801522,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,DeMoE-scenario,0.26329876316600526,0.10632124605592395,0.4166641356885498,0.2734424365818264,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,NAFNet-road,0.36356184070038294,0.14670801449869855,0.540442919832965,0.35970369298254684,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,Degraded,0.06124847582255353,0.02296007395967188,0.19002525837596673,0.09404265690735074,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,DFPIR,0.058505719921183134,0.02197021890830938,0.196829304451708,0.08126322239755492,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,DeMoE-auto,0.08212867422263609,0.03145524912125472,0.21385493637093364,0.12850561727704685,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,DeMoE-scenario,0.08011299162797426,0.030780881529226357,0.21670791340350584,0.1261680937392547,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,NAFNet-road,0.08252086539063108,0.03074298586596076,0.25411388152962383,0.12751516057192866,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,RMR-Net,0.3116922470082634,0.11067725401401286,0.37798574951956393,0.33868244222244986,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,RMR-Net,0.2330859771404454,0.08027662207677695,0.3350460518733351,0.2610790640705237,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,lowlight,RMR-Net,0.43484027832825994,0.17661844260897974,0.5154144913456994,0.4327279162254216,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,mixed,RMR-Net,0.1386620936108841,0.047786837646474824,0.277514233565806,0.20558197032794523,YOLO11s frozen clean-data checkpoint,640,direct restored view
