run,images,gt,pred,precision_iou10,recall_iou10,f1_iou10,f1_iou50,coverage
rmr_blind,22,60,41,0.5609756097560976,0.38333333333333336,0.4554455445544555,0.3564356435643565,0.38333333333333336
rmr_metadata,22,60,41,0.5853658536585366,0.4,0.4752475247524752,0.3762376237623763,0.4
rmr_metadata_gated,22,60,39,0.5897435897435898,0.38333333333333336,0.46464646464646464,0.3434343434343434,0.38333333333333336
rmr_eta_0p1,22,60,40,0.6,0.4,0.48,0.37999999999999995,0.4
rmr_detdom2ep_metadata_eta0p05,22,60,40,0.6,0.4,0.48,0.36000000000000004,0.4
rmr_native_gate_gamma085,22,60,40,0.65,0.43333333333333335,0.5199999999999999,0.37999999999999995,0.43333333333333335
