camera_name,lat,lon,ht,yaw,pitch,roll,std_east,std_north,std_ht,std_roll,std_pitch,std_yaw
Cam2_2026-03-19_08-35-16_capt0418_419.jpg,-37.1646731310,174.8938091285,78.4546,156.851739,-15.848148,-1.997073,0.008000,0.007000,0.018000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-16_capt0419_420.jpg,-37.1647369998,174.8938445158,78.5376,156.375761,-15.826839,-1.872188,0.010000,0.007000,0.019000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-17_capt0420_421.jpg,-37.1648070345,174.8938838079,78.6022,155.882406,-15.544483,-1.528953,0.008000,0.007000,0.019000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-17_capt0421_422.jpg,-37.1648765790,174.8939236561,78.6591,155.487043,-16.167065,-1.262869,0.010000,0.007000,0.020000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-18_capt0422_423.jpg,-37.1649475187,174.8939645375,78.6654,155.291587,-16.013825,-1.064248,0.010401,0.008000,0.020000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-19_capt0423_424.jpg,-37.1650166885,174.8940046946,78.7235,154.917339,-16.043029,-0.541554,0.009000,0.007000,0.020000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-19_capt0424_425.jpg,-37.1650857033,174.8940455151,78.7552,154.685137,-16.133151,-0.653629,0.011799,0.008000,0.021000,0.028000,0.028000,0.047000
Cam2_2026-03-19_08-35-20_capt0425_426.jpg,-37.1651488631,174.8940831102,78.7399,154.403666,-16.313540,-0.679761,0.010000,0.008000,0.020000,0.028000,0.028000,0.048000
Cam2_2026-03-19_08-35-20_capt0426_427.jpg,-37.1652177550,174.8941247922,78.7891,154.037690,-16.206339,-0.263675,0.013000,0.008000,0.022000,0.028000,0.028000,0.048000
Cam2_2026-03-19_08-35-21_capt0427_428.jpg,-37.1652868158,174.8941668052,78.8012,153.922576,-16.092963,-0.471722,0.011000,0.008000,0.021000,0.028000,0.028000,0.048000
Cam2_2026-03-19_08-35-21_capt0428_429.jpg,-37.1653494602,174.8942054670,78.8313,153.869252,-16.022378,-0.838909,0.013000,0.008000,0.022000,0.028000,0.028000,0.048000
Cam2_2026-03-19_08-35-22_capt0429_430.jpg,-37.1654181803,174.8942480763,78.8393,153.674496,-16.055218,-1.058907,0.012000,0.008000,0.021000,0.028000,0.028000,0.049000
Cam2_2026-03-19_08-35-22_capt0430_431.jpg,-37.1654793161,174.8942862113,78.8637,153.475280,-16.063928,-0.908202,0.013000,0.008000,0.022000,0.029000,0.028000,0.049000
Cam2_2026-03-19_08-35-23_capt0431_432.jpg,-37.1655473107,174.8943289107,78.8708,153.424847,-16.416964,-1.205742,0.012000,0.009000,0.021000,0.029000,0.028000,0.049000
Cam2_2026-03-19_08-35-23_capt0432_433.jpg,-37.1656147990,174.8943716418,78.8849,153.135746,-16.320113,-0.942727,0.013000,0.009000,0.022000,0.029000,0.028000,0.050000
Cam2_2026-03-19_08-35-24_capt0433_434.jpg,-37.1656807174,174.8944134820,78.8900,153.245140,-16.306326,-1.234672,0.011000,0.009000,0.021000,0.029000,0.028000,0.050000
Cam2_2026-03-19_08-35-24_capt0434_435.jpg,-37.1657457850,174.8944545170,78.8758,153.489976,-16.397104,-1.473166,0.012000,0.009000,0.021000,0.029000,0.028000,0.050000
Cam2_2026-03-19_08-35-25_capt0435_436.jpg,-37.1658103476,174.8944946832,78.8667,153.679839,-16.473773,-1.372739,0.012000,0.008000,0.021000,0.029000,0.028000,0.050000
Cam2_2026-03-19_08-35-26_capt0436_437.jpg,-37.1658788314,174.8945368333,78.8876,153.864541,-16.155669,-1.145419,0.010000,0.008000,0.019000,0.029000,0.028000,0.051000
Cam2_2026-03-19_08-35-26_capt0437_438.jpg,-37.1659458484,174.8945779456,78.9411,154.244807,-16.171492,-1.589654,0.011000,0.008000,0.019000,0.029000,0.028000,0.051000
Cam2_2026-03-19_08-35-27_capt0438_439.jpg,-37.1660120977,174.8946178372,78.9742,154.484216,-16.155460,-1.535456,0.009000,0.008000,0.018000,0.029000,0.028000,0.052000
Cam2_2026-03-19_08-35-27_capt0439_440.jpg,-37.1660814604,174.8946591579,79.0073,154.594429,-16.311749,-1.108649,0.010000,0.008000,0.018000,0.029000,0.029000,0.052000
Cam2_2026-03-19_08-35-28_capt0440_441.jpg,-37.1661482336,174.8946990893,79.0416,154.535043,-16.242898,-1.240790,0.011000,0.008000,0.019000,0.029000,0.029000,0.053000
Cam2_2026-03-19_08-35-29_capt0441_442.jpg,-37.1662160723,174.8947403731,79.0728,153.849994,-16.448999,-1.064228,0.009000,0.007000,0.017000,0.029000,0.029000,0.054000
Cam2_2026-03-19_08-35-30_capt0442_443.jpg,-37.1662793590,174.8947812081,79.0844,152.422747,-16.716265,-0.979188,0.010000,0.007000,0.018000,0.029000,0.029000,0.054000
Cam2_2026-03-19_08-35-30_capt0443_444.jpg,-37.1663417247,174.8948263414,79.1012,149.174024,-16.867367,-0.479868,0.012000,0.008000,0.022000,0.029000,0.029000,0.055000
Cam2_2026-03-19_08-35-31_capt0444_445.jpg,-37.1664004178,174.8948765423,79.1065,143.869767,-16.599113,0.793150,0.012000,0.008000,0.022000,0.029000,0.029000,0.056000
Cam2_2026-03-19_08-35-32_capt0445_446.jpg,-37.1664519573,174.8949317614,79.0759,138.245356,-17.027276,0.324789,0.010000,0.008000,0.021000,0.029000,0.029000,0.057000
Cam2_2026-03-19_08-35-33_capt0446_447.jpg,-37.1665008583,174.8949949603,79.1241,133.430432,-16.196514,-0.169373,0.011000,0.008000,0.021000,0.029000,0.029000,0.058000
Cam2_2026-03-19_08-35-34_capt0447_448.jpg,-37.1665542547,174.8950678244,79.1915,132.809491,-15.882808,-0.732618,0.010000,0.008000,0.021000,0.029000,0.029000,0.060000
Cam2_2026-03-19_08-35-35_capt0448_449.jpg,-37.1666068832,174.8951303828,79.2358,138.882139,-16.382975,-2.124614,0.012000,0.008000,0.021000,0.029000,0.029000,0.061000
Cam2_2026-03-19_08-35-36_capt0449_450.jpg,-37.1666550254,174.8951638729,79.2685,152.777854,-16.650159,-2.568984,0.012000,0.008000,0.021000,0.029000,0.030000,0.062000
Cam2_2026-03-19_08-35-38_capt0450_451.jpg,-37.1667173983,174.8951694759,79.3093,179.213149,-16.763876,-2.015863,0.011000,0.007000,0.021000,0.030000,0.030000,0.063000
Cam2_2026-03-19_08-35-48_capt0451_452.jpg,-37.1667741426,174.8950391537,79.3210,269.195475,-14.102899,0.755317,0.012000,0.008000,0.023000,0.030000,0.030000,0.063000
Cam2_2026-03-19_08-35-49_capt0452_453.jpg,-37.1667419149,174.8949806980,79.4052,304.675892,-15.424173,1.143879,0.013000,0.008000,0.024000,0.030000,0.030000,0.063000
Cam2_2026-03-19_08-35-51_capt0453_454.jpg,-37.1666801122,174.8949286472,79.4304,325.821895,-15.986644,2.336800,0.012000,0.008000,0.024000,0.029000,0.029000,0.062000
Cam2_2026-03-19_08-35-52_capt0454_455.jpg,-37.1666128778,174.8948833905,79.4074,330.935024,-16.683885,2.650708,0.014000,0.008000,0.024000,0.029000,0.028000,0.061000
Cam2_2026-03-19_08-35-53_capt0455_456.jpg,-37.1665439363,174.8948409144,79.4100,332.957929,-16.210186,2.565333,0.014000,0.008000,0.024000,0.029000,0.028000,0.059000
Cam2_2026-03-19_08-35-54_capt0456_457.jpg,-37.1664811233,174.8948031691,79.4014,333.375126,-15.991380,2.460895,0.014000,0.008000,0.025000,0.028000,0.028000,0.058000
Cam2_2026-03-19_08-35-55_capt0457_458.jpg,-37.1664150321,174.8947636682,79.3852,333.592583,-16.115454,2.280568,0.014000,0.008000,0.025000,0.028000,0.028000,0.057000
Cam2_2026-03-19_08-35-56_capt0458_459.jpg,-37.1663498444,174.8947246461,79.3401,333.727625,-16.205351,1.823091,0.014000,0.008000,0.024000,0.028000,0.028000,0.057000
Cam2_2026-03-19_08-35-57_capt0459_460.jpg,-37.1662833952,174.8946847857,79.3081,333.800086,-16.216086,1.424961,0.014000,0.008000,0.024000,0.028000,0.028000,0.056000
Cam2_2026-03-19_08-35-57_capt0460_461.jpg,-37.1662180687,174.8946457030,79.2472,334.063767,-16.817587,0.815406,0.015000,0.008000,0.025000,0.028000,0.028000,0.056000
Cam2_2026-03-19_08-35-58_capt0461_462.jpg,-37.1661545510,174.8946080463,79.1951,334.195993,-16.921402,0.701063,0.015000,0.008000,0.026000,0.028000,0.028000,0.056000
Cam2_2026-03-19_08-35-59_capt0462_463.jpg,-37.1660911518,174.8945706255,79.1340,334.329469,-17.008791,0.484440,0.015000,0.008000,0.025000,0.028000,0.028000,0.055000
Cam2_2026-03-19_08-36-00_capt0463_464.jpg,-37.1660292239,174.8945339583,79.0851,334.329896,-17.060762,0.275160,0.016000,0.008000,0.026000,0.028000,0.028000,0.055000
Cam2_2026-03-19_08-36-00_capt0464_465.jpg,-37.1659691306,174.8944983578,79.0448,334.325456,-16.699792,0.225393,0.017000,0.008000,0.026000,0.028000,0.028000,0.055000
Cam2_2026-03-19_08-36-01_capt0465_466.jpg,-37.1659032173,174.8944594373,78.9975,334.279802,-16.504395,0.339112,0.017000,0.009000,0.027000,0.029000,0.028000,0.055000
Cam2_2026-03-19_08-36-02_capt0466_467.jpg,-37.1658403017,174.8944219390,78.9848,334.347103,-16.411681,-0.243764,0.017000,0.009000,0.027000,0.029000,0.029000,0.055000
Cam2_2026-03-19_08-36-02_capt0467_468.jpg,-37.1657754707,174.8943827751,78.9759,333.743303,-16.345240,-0.025330,0.018000,0.009000,0.029000,0.029000,0.029000,0.055000
Cam2_2026-03-19_08-36-03_capt0468_469.jpg,-37.1657133687,174.8943438025,78.9566,333.508453,-16.582653,-1.008073,0.021000,0.010000,0.034000,0.029000,0.029000,0.055000
Cam2_2026-03-19_08-36-04_capt0469_470.jpg,-37.1656494023,174.8943038603,78.9448,333.095539,-16.378613,-0.307424,0.022000,0.012000,0.037000,0.029000,0.029000,0.054000
Cam2_2026-03-19_08-36-04_capt0470_471.jpg,-37.1655841776,174.8942624509,78.9000,333.491968,-16.253251,-1.408947,0.022000,0.013000,0.030000,0.029000,0.029000,0.053000
Cam2_2026-03-19_08-36-05_capt0471_472.jpg,-37.1655173583,174.8942204251,78.8820,333.516036,-16.260202,-1.554803,0.021000,0.012000,0.028000,0.029000,0.029000,0.053000
Cam2_2026-03-19_08-36-06_capt0472_473.jpg,-37.1654484713,174.8941772927,78.8325,333.550129,-16.603506,-1.456579,0.020000,0.013000,0.027000,0.029000,0.029000,0.053000
Cam2_2026-03-19_08-36-06_capt0473_474.jpg,-37.1653834172,174.8941366820,78.8038,334.020616,-16.444846,-2.046600,0.018000,0.011000,0.025000,0.029000,0.029000,0.052000
Cam2_2026-03-19_08-36-07_capt0474_475.jpg,-37.1653166388,174.8940960124,78.7907,334.041670,-16.517063,-1.254370,0.016000,0.012000,0.023000,0.029000,0.029000,0.052000
Cam2_2026-03-19_08-36-08_capt0475_476.jpg,-37.1652491998,174.8940554879,78.8141,333.837001,-16.217791,0.097117,0.015000,0.013000,0.022000,0.029000,0.029000,0.052000
Cam2_2026-03-19_08-36-08_capt0476_477.jpg,-37.1651866514,174.8940179811,78.8247,334.077607,-16.039755,0.039277,0.013000,0.012000,0.022000,0.029000,0.029000,0.051000
Cam2_2026-03-19_08-36-09_capt0477_478.jpg,-37.1651193268,174.8939778370,78.7990,334.085758,-16.700436,0.195133,0.010000,0.010000,0.021000,0.028000,0.029000,0.051000
Cam2_2026-03-19_08-36-09_capt0478_479.jpg,-37.1650533166,174.8939389947,78.8799,333.945223,-16.320708,1.175222,0.012000,0.012000,0.027000,0.028000,0.028000,0.051000
Cam2_2026-03-19_08-36-10_capt0479_480.jpg,-37.1649867692,174.8939000466,78.8870,334.008481,-16.226237,1.733612,0.011000,0.011000,0.027000,0.028000,0.028000,0.050000
Cam2_2026-03-19_08-36-10_capt0480_481.jpg,-37.1649192306,174.8938612122,78.8428,334.475565,-16.423071,1.801160,0.011000,0.009000,0.023000,0.029000,0.029000,0.050000
Cam2_2026-03-19_08-36-11_capt0481_482.jpg,-37.1648505924,174.8938223875,78.8390,335.047836,-16.252425,1.701630,0.010000,0.008000,0.020000,0.029000,0.029000,0.050000
Cam2_2026-03-19_08-36-12_capt0482_483.jpg,-37.1647799512,174.8937842481,78.7836,335.382270,-16.847798,2.862804,0.011000,0.008000,0.020000,0.029000,0.029000,0.049000
Cam2_2026-03-19_08-36-12_capt0483_484.jpg,-37.1647082971,174.8937470523,78.7040,336.763610,-16.829114,2.524107,0.010000,0.008000,0.019000,0.029000,0.028000,0.049000
Cam2_2026-03-19_08-36-13_capt0484_485.jpg,-37.1646342372,174.8937109416,78.6314,338.000130,-16.675267,2.297910,0.012000,0.008000,0.020000,0.029000,0.028000,0.049000
Cam2_2026-03-19_08-36-13_capt0485_486.jpg,-37.1645671111,174.8936797597,78.5359,338.911376,-17.191127,2.069455,0.010000,0.008000,0.019000,0.029000,0.028000,0.048199
