epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1791.98,0.95372,0.85767,0.00394,0.19547,0.25908,0.14457,0.05192,1.02014,1.29813,0.00951,0.00010127,0.00010127,0.00010127
43,1833.85,0.94959,0.90392,0.00416,0.18537,0.26834,0.14898,0.05649,0.98613,1.27953,0.00868,9.75464e-05,9.75464e-05,9.75464e-05
44,1875.42,0.99596,0.81375,0.004,0.29185,0.13105,0.13351,0.04453,1.00214,1.32963,0.00854,9.38339e-05,9.38339e-05,9.38339e-05
45,1917.04,0.96357,0.83318,0.00404,0.29286,0.13105,0.14553,0.04327,1.01755,1.33005,0.00884,9.01387e-05,9.01387e-05,9.01387e-05
46,1958.51,0.97059,0.81206,0.004,0.26345,0.19648,0.1495,0.05805,0.98034,1.34191,0.00846,8.64664e-05,8.64664e-05,8.64664e-05
47,2002.49,0.98852,0.86981,0.00386,0.28464,0.20464,0.14581,0.05349,0.98994,1.32244,0.00873,8.28227e-05,8.28227e-05,8.28227e-05
48,2044.17,0.96215,0.77537,0.00381,0.2875,0.20447,0.13418,0.04989,0.97738,1.32682,0.00869,7.92132e-05,7.92132e-05,7.92132e-05
49,2085.9,0.98885,0.88127,0.00373,0.33793,0.21688,0.18166,0.05409,0.96593,1.3372,0.00842,7.56434e-05,7.56434e-05,7.56434e-05
50,2127.73,0.85468,0.70149,0.00363,0.20222,0.25908,0.17214,0.05333,0.96798,1.28128,0.00849,7.21189e-05,7.21189e-05,7.21189e-05
51,2169.52,0.93459,0.76989,0.00369,0.25324,0.24982,0.1567,0.05085,0.9495,1.33586,0.0084,6.86451e-05,6.86451e-05,6.86451e-05
52,2213.63,0.95282,0.77167,0.00347,0.22468,0.23985,0.16941,0.05365,0.93345,1.42065,0.0082,6.52273e-05,6.52273e-05,6.52273e-05
53,2255.28,0.87482,0.72782,0.00369,0.21168,0.24982,0.16713,0.05278,0.97741,1.29439,0.00855,6.18709e-05,6.18709e-05,6.18709e-05
