dataset,name,data,split,map50_95,map50,map75,precision,recall,class_names,class_map50_95,class_map50,class_precision,class_recall,imgsz,batch,confidence_floor,nms_iou,seed,ultralytics_version,resize_policy,ap_implementation
ivcnz,ivcnz_clean,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\pothole_yolo_sequence_disjoint_v1\data.yaml,test,0.1599881007851491,0.4235616605234417,0.08217154817084524,0.5108181906403009,0.442633219768483,"[""pothole""]",[0.1599881007851491],[0.4235616605234417],[0.5108181906403009],[0.442633219768483],640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
pcm,pcm_clean,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\datasets\road_damage_pcm_yolo_sequence_disjoint_v1\data.yaml,test,0.14712253561230432,0.33369937151470613,0.08341961921905183,0.39926531212909583,0.3597215545620485,"[""pothole"", ""crack"", ""manhole""]","[0.04733599704110665, 0.07171994741618865, 0.32231166237961767]","[0.12337918585112007, 0.1947630359873745, 0.682955892705624]","[0.3002175142339675, 0.39253232331947696, 0.5050460988338429]","[0.11940298507462686, 0.23003194888178913, 0.7297297297297297]",640,8,0.001,0.7,2026,8.4.53,Ultralytics aspect-preserving letterbox,Ultralytics COCO-style interpolated PR integration
