method,ivcnz_mean_map50,pcm_mean_map50,joint_mean_map50,ivcnz_mean_map50_95,pcm_mean_map50_95,joint_mean_map50_95,ivcnz_mean_precision,pcm_mean_precision,joint_mean_precision,ivcnz_mean_recall,pcm_mean_recall,joint_mean_recall
demoe_auto,0.2944213194768006,0.22116849437909733,0.257794906927949,0.11348575968561539,0.09272137970424693,0.10310356969493116,0.465563508841837,0.3019779934206753,0.38377075113125614,0.30413385826771655,0.25803518058231684,0.28108451942501667
demoe_oracle,0.34699666049544975,0.2412882146249088,0.29414243756017927,0.13277469024394173,0.10137307704303841,0.11707388364349007,0.5000317633597914,0.2968243284649984,0.3984280459123949,0.353210725574276,0.2891738219104875,0.3211922737423818
dfpir,0.3069286735406595,0.23123210929297527,0.2690803914168174,0.11909167151217638,0.09876311602052237,0.10892739376634938,0.4769578135773387,0.31179060975994327,0.39437421166864095,0.3145235750932278,0.2674648267637818,0.2909942009285048
instructir,0.3148942887627032,0.212468458779492,0.26368137377109757,0.1210588593489322,0.0908789188933265,0.10596888912112934,0.47972646810595726,0.28484536077053046,0.3822859144382439,0.3190668594382974,0.25419759562146665,0.28663222752988204
nafnet,0.29629216142070786,0.20162919072708307,0.24896067607389546,0.11318593671453762,0.08737856867052564,0.10028225269253163,0.4680856827886692,0.273639870272457,0.3708627765305631,0.30150918635170604,0.24923547962746617,0.2753723329895861
raw,0.20487138412754408,0.1294319878318002,0.16715168597967214,0.0777355638585783,0.057576138236132404,0.06765585104735536,0.3723681981253203,0.20508875644385005,0.28872847728458517,0.23129921259842523,0.17784841729813358,0.20457381494827942
trace_r,0.3370993554095554,0.233107744436452,0.2851035499230037,0.1295057636969394,0.10071063967508448,0.11510820168601194,0.49335802556669944,0.296023763606237,0.3946908945864682,0.3415587922013392,0.27908057389257124,0.31031968304695523
