epoch,optimizer_step,loss,base,tdp,detector_supervised,evidence_distillation,parameter_anchor,state,physical,metadata_mismatch_fraction,metadata_robustness_scale,metadata_dropout_probability,metadata_noise_sigma,metadata_mismatch_probability,route_teacher_probability,route_teacher_fraction,pcgrad_conflict_fraction,pcgrad_mean_domain_cosine,amp_skipped_updates,lr,new_module_lr,seconds,peak_cuda_MiB
12,1536,0.18786717858165503,0.05099482928699217,0.31756437682633987,0.7002547087031417,0.0,0.0,0.024948722800218093,0.01678257994899468,0.064453125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,7.067746303734178e-06,3.533873151867089e-05,102.58432679998805,1068.9921875
13,1664,0.18450864635815378,0.046791572601250664,0.3195225239978754,0.7041627485305071,0.0,0.0,0.025666553014161764,0.016592727545685193,0.0546875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,6.628852216958697e-06,3.314426108479348e-05,100.57785089999379,1068.9921875
14,1792,0.18456295704527292,0.04909793374918081,0.31621630620065844,0.6910266922568553,0.0,0.0,0.023425328075973084,0.015531132569776673,0.05078125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,6.176679029576611e-06,3.088339514788305e-05,101.87743520000367,1068.9921875
15,1920,0.1870262100273976,0.05215377407694177,0.3176686697843252,0.6807115221745335,0.0,0.0,0.024332782506462536,0.016685403872543247,0.06640625,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,5.715581416565414e-06,2.857790708282707e-05,99.96996919999947,1068.9921875
16,2048,0.18941675045061857,0.051849342790774244,0.316860006438219,0.7081535545294173,0.0,0.0,0.025327453015052015,0.01694603093619662,0.064453125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,5.2500000000000006e-06,2.625e-05,100.42710880000959,1068.9921875
17,2176,0.18181146023562178,0.04580737841570226,0.3208264663699083,0.6866623232053826,0.0,0.0,0.023920149122204748,0.015610785835633578,0.03515625,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,4.784418583434587e-06,2.3922092917172934e-05,100.9550339999987,1068.9921875
18,2304,0.1798629270924721,0.04701150772689289,0.30322460349998437,0.6902339484513504,0.0,0.0,0.023785111985489493,0.01609178672561029,0.05078125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,4.323320970423391e-06,2.1616604852116958e-05,100.75778899999568,1068.9921875
19,2432,0.1798285250988556,0.04429002258757464,0.3054112292120408,0.7125203353243705,0.0,0.0,0.024085352639303892,0.015913697039650287,0.048828125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,3.871147783041305e-06,1.9355738915206522e-05,100.6207837999973,1070.74853515625
20,2560,0.18801761939539574,0.04721144765608187,0.32041165031841956,0.7363002512720414,0.0,0.0,0.0232515479929134,0.015373192609331454,0.048828125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,3.432253696265824e-06,1.716126848132912e-05,100.08554100000765,1070.74853515625
21,2688,0.18459228295250796,0.048542594122409355,0.31477192157763056,0.6993204253813019,0.0,0.0,0.023601978889928432,0.016061195908150694,0.05078125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,3.010865500076511e-06,1.5054327500382553e-05,100.0064008999907,1070.74853515625
22,2816,0.18653562464169227,0.048606793741782894,0.3270391010919411,0.6940855025022756,0.0,0.0,0.02333137639107008,0.015586381295179308,0.04296875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,2.6110413931568906e-06,1.3055206965784452e-05,101.03097719998914,1070.74853515625
23,2944,0.18303489225218073,0.046489354283039575,0.30672070215950953,0.7188414982956601,0.0,0.0,0.02491823586024111,0.016508421838807408,0.05859375,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,2.2366319002226845e-06,1.1183159501113422e-05,98.84555569999793,1070.74853515625
24,3072,0.18726486890227534,0.05119499256443305,0.3201644608634524,0.688111338611634,0.0,0.0,0.02406477331169299,0.01638739417285251,0.048828125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,1.8912427893638996e-06,9.456213946819498e-06,99.83490739999979,1070.74853515625
25,3200,0.1809995404619258,0.04794782625594962,0.31146405774052255,0.675613373714441,0.0,0.0,0.023986338688700926,0.015978565732439165,0.052734375,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,1.5782003465269993e-06,7.891001732634997e-06,99.33909389999462,1070.74853515625
26,3328,0.1792845965392189,0.04485054687665979,0.31691832885553595,0.679811603622511,0.0,0.0,0.02295766561292112,0.015469073963686242,0.05078125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,1.3005193415629098e-06,6.502596707814549e-06,99.86250210000435,1070.74853515625
27,3456,0.1803645615291316,0.0461970905716953,0.31347905472648563,0.6834358977503143,0.0,0.0,0.023366646930298884,0.015828026404960838,0.048828125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,1.0608739943453141e-06,5.3043699717265705e-06,97.86071350000566,1070.74853515625
28,3584,0.18565220208256505,0.05004115383962926,0.30912476086086826,0.7071577624155907,0.0,0.0,0.023033431205476518,0.015339478305577359,0.04296875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,8.615722205713881e-07,4.30786110285694e-06,98.8111557999946,1070.74853515625
29,3712,0.18621824035653844,0.0472501037766051,0.32124840070900973,0.7163025043555535,0.0,0.0,0.023006723375146976,0.015750615129036305,0.03515625,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,7.045334052720082e-07,3.522667026360041e-06,98.04270869999891,1070.74853515625
30,3840,0.18734961553127505,0.05002326195881324,0.3200291520697647,0.7008394857839448,0.0,0.0,0.02413004777918104,0.016471343787998194,0.05859375,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,5.912699180846555e-07,2.9563495904232777e-06,98.4880467000039,1070.74853515625
31,3968,0.18784309436159674,0.05125109866958155,0.32389900649286574,0.6874188144283835,0.0,0.0,0.022865986027682084,0.01567424202858092,0.0546875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,5.228725483070652e-07,2.614362741535326e-06,99.03255879999779,1070.74853515625
32,4096,0.18579159045475535,0.05004185393545413,0.30796572793769883,0.7113642794138286,0.0,0.0,0.02260669159295503,0.015189818186627235,0.044921875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,5.000000000000001e-07,2.5e-06,98.1851358999993,1070.74853515625
