control,ivcnz_mean_map50,pcm_mean_map50,joint_mean_map50,conditions
aligned,0.5205476316663247,0.2843761035774808,0.4024618676219027,"{'ivcnz_motion': 0.5332783300084882, 'ivcnz_defocus': 0.508750077077982, 'ivcnz_lowlight': 0.5555664680835806, 'ivcnz_mixed': 0.48459565149524775, 'pcm_motion': 0.32937805755630173, 'pcm_defocus': 0.28530714683659397, 'pcm_lowlight': 0.31260717650946473, 'pcm_mixed': 0.21021203340756264}"
unavailable,0.4736545365377224,0.2387583220679167,0.35620642930281954,"{'ivcnz_motion': 0.530059571136457, 'ivcnz_defocus': 0.3331429054016436, 'ivcnz_lowlight': 0.5554517667220138, 'ivcnz_mixed': 0.4759639028907751, 'pcm_motion': 0.3290991756868866, 'pcm_defocus': 0.17743822316738575, 'pcm_lowlight': 0.2917885292600103, 'pcm_mixed': 0.15670736015738415}"
wrong_condition,0.4528930070472921,0.2060692362103696,0.3294811216288308,"{'ivcnz_motion': 0.44768835084062264, 'ivcnz_defocus': 0.35360776751091083, 'ivcnz_lowlight': 0.5553849461541176, 'ivcnz_mixed': 0.4548909636835171, 'pcm_motion': 0.24067362539577275, 'pcm_defocus': 0.21111787513322813, 'pcm_lowlight': 0.31213198627136257, 'pcm_mixed': 0.060353458041115}"
