method,images,gt,pred,ap10_primary,ap50_primary,coverage
rmr_fine_eta0p75,13,49,613,0.562269764894011,0.48242979795052887,0.6326530612244898
rmr_guarded_dual_view,13,49,404,0.5599821752092649,0.48362717570635905,0.6122448979591837
nafnet,13,49,455,0.5590749379276883,0.47373394192551016,0.5306122448979592
demoe_auto,13,49,655,0.5512577253716808,0.4521174140766621,0.5918367346938775
dfpir,13,49,590,0.5497740455922284,0.45234872073314264,0.6122448979591837
instructir,13,49,561,0.5419445266826196,0.4421601802210963,0.6122448979591837
raw,13,49,617,0.5155907120696078,0.44597754643577653,0.6326530612244898
